0.84,0.10875,3.6114,0.44178
0.841,0.11645,3.6783,0.44959
0.842,0.12517,3.7556,0.45855
0.843,0.13516,3.8463,0.46896
0.844,0.14674,3.954,0.48122
0.845,0.16037,4.0843,0.49589
0.846,0.17672,4.2452,0.51384
0.847,0.1968,4.4493,0.53639
0.848,0.22227,4.7177,0.56574
0.849,0.25608,5.0888,0.60596
0.85,0.30426,5.6431,0.66562
0.851,0.38233,6.595,0.76794
0.852,0.56156,8.9729,1.0264
0.853,0.51283,10.855,1.2928
0.854,0.34943,9.3278,1.1274
0.855,0.26281,8.4631,1.029
0.856,0.20627,7.873,0.96003
0.857,0.16569,7.4345,0.90801
0.858,0.13487,7.0916,0.86684
0.859,0.11053,6.814,0.83316
0.86,0.090746,6.5835,0.80492
0.861,0.074308,6.3882,0.78078
0.862,0.060406,6.2203,0.75984
0.863,0.048472,6.074,0.74143
0.864,0.038101,5.9452,0.72509
0.865,0.02899,5.8309,0.71044
0.866,0.020911,5.7286,0.69722
0.867,0.013687,5.6364,0.6852
0.868,0.007178,5.553,0.67422
0.869,0.001274,5.4771,0.66413
0.87,-0.0041152,5.4077,0.65481
0.871,-0.0090632,5.3441,0.64619
0.872,-0.013631,5.2856,0.63817
0.873,-0.017869,5.2315,0.6307
0.874,-0.021821,5.1816,0.62372
0.875,-0.025523,5.1353,0.61718
0.876,-0.029006,5.0922,0.61104
0.877,-0.032298,5.0523,0.60527
0.878,-0.035421,5.015,0.59984
0.879,-0.038397,4.9803,0.59472
0.88,-0.041242,4.948,0.58989
0.881,-0.043975,4.9178,0.58533
0.882,-0.046608,4.8897,0.58102
0.883,-0.049155,4.8635,0.57695
0.884,-0.051628,4.8391,0.57311
0.885,-0.054037,4.8164,0.56949
0.886,-0.056392,4.7954,0.56606
0.887,-0.058701,4.7759,0.56284
0.888,-0.060975,4.7578,0.5598
0.889,-0.063219,4.7412,0.55695
0.89,-0.065443,4.726,0.55427
0.891,-0.067653,4.7122,0.55177
0.892,-0.069856,4.6997,0.54944
0.893,-0.072059,4.6884,0.54728
0.894,-0.074268,4.6785,0.54528
0.895,-0.07649,4.6698,0.54345
0.896,-0.078731,4.6624,0.54178
0.897,-0.080999,4.6563,0.54028
0.898,-0.0833,4.6515,0.53895
0.899,-0.08564,4.648,0.53779
0.9,-0.088027,4.6459,0.53681
0.901,-0.090469,4.6451,0.536
0.902,-0.092972,4.6457,0.53538
0.903,-0.095546,4.6478,0.53494
0.904,-0.098199,4.6514,0.5347
0.905,-0.10094,4.6566,0.53467
0.906,-0.10378,4.6634,0.53486
0.907,-0.10673,4.6721,0.53527
0.908,-0.10981,4.6826,0.53593
0.909,-0.11301,4.6951,0.53684
0.91,-0.11637,4.7097,0.53803
0.911,-0.1199,4.7267,0.53952
0.912,-0.12361,4.7462,0.54132
0.913,-0.12753,4.7684,0.54347
0.914,-0.13167,4.7936,0.54599
0.915,-0.13608,4.8221,0.54892
0.916,-0.14077,4.8543,0.5523
0.917,-0.14578,4.8905,0.55617
0.918,-0.15116,4.9313,0.56059
0.919,-0.15695,4.9771,0.56564
0.92,-0.16321,5.0288,0.57137
0.921,-0.17,5.0872,0.5779
0.922,-0.17742,5.1532,0.58534
0.923,-0.18555,5.2281,0.59383
0.924,-0.19451,5.3134,0.60354
0.925,-0.20446,5.4111,0.61469
0.926,-0.21558,5.5235,0.62756
0.927,-0.22812,5.6539,0.64251
0.928,-0.24238,5.8063,0.66
0.929,-0.25879,5.9864,0.68067
0.93,-0.2779,6.2017,0.70537
0.931,-0.30052,6.4633,0.73534
0.932,-0.32781,6.7873,0.7724
0.933,-0.36155,7.1985,0.81934
0.934,-0.40464,7.7383,0.88081
0.935,-0.4622,8.4804,0.96513
0.936,-0.54449,9.5752,1.0893
0.937,-0.67665,11.399,1.2959
0.938,-0.95418,15.414,1.7501
0.939,-1.1846,22.943,2.6563
0.94,-0.75315,17.771,2.0782
0.941,-0.56561,15.276,1.793
0.942,-0.45323,13.676,1.6081
0.943,-0.37692,12.528,1.4744
0.944,-0.3213,11.65,1.3714
0.945,-0.27881,10.95,1.2888
0.946,-0.24524,10.376,1.2205
0.947,-0.21804,9.8922,1.1628
0.948,-0.19555,9.4785,1.1131
0.949,-0.17666,9.1193,1.0698
0.95,-0.16058,8.8036,1.0316
